index,origin,loss,layer,multiplier
0,openwebtext-256-512,4.206597328186035,0,0
0,openwebtext-256-512,4.206597328186035,1,0
0,openwebtext-256-512,4.206597328186035,10,0
0,openwebtext-256-512,4.206597328186035,11,0
0,openwebtext-256-512,4.206597328186035,2,0
0,openwebtext-256-512,4.206597328186035,3,0
0,openwebtext-256-512,4.206597328186035,4,0
0,openwebtext-256-512,4.206597328186035,5,0
0,openwebtext-256-512,4.206597328186035,6,0
0,openwebtext-256-512,4.206597328186035,7,0
0,openwebtext-256-512,4.206597328186035,8,0
0,openwebtext-256-512,4.206597328186035,9,0
1,openwebtext-256-512,4.192927360534668,0,0
1,openwebtext-256-512,4.192927360534668,1,0
1,openwebtext-256-512,4.192927360534668,10,0
1,openwebtext-256-512,4.192927360534668,11,0
1,openwebtext-256-512,4.192927360534668,2,0
1,openwebtext-256-512,4.192927360534668,3,0
1,openwebtext-256-512,4.192927360534668,4,0
1,openwebtext-256-512,4.192927360534668,5,0
1,openwebtext-256-512,4.192927360534668,6,0
1,openwebtext-256-512,4.192927360534668,7,0
1,openwebtext-256-512,4.192927360534668,8,0
1,openwebtext-256-512,4.192927360534668,9,0
2,openwebtext-256-512,3.167940139770508,0,0
2,openwebtext-256-512,3.167940139770508,1,0
2,openwebtext-256-512,3.167940139770508,10,0
2,openwebtext-256-512,3.167940139770508,11,0
2,openwebtext-256-512,3.167940139770508,2,0
2,openwebtext-256-512,3.167940139770508,3,0
2,openwebtext-256-512,3.167940139770508,4,0
2,openwebtext-256-512,3.167940139770508,5,0
2,openwebtext-256-512,3.167940139770508,6,0
2,openwebtext-256-512,3.167940139770508,7,0
2,openwebtext-256-512,3.167940139770508,8,0
2,openwebtext-256-512,3.167940139770508,9,0
3,openwebtext-256-512,4.80689001083374,0,0
3,openwebtext-256-512,4.80689001083374,1,0
3,openwebtext-256-512,4.80689001083374,10,0
3,openwebtext-256-512,4.80689001083374,11,0
3,openwebtext-256-512,4.80689001083374,2,0
3,openwebtext-256-512,4.80689001083374,3,0
3,openwebtext-256-512,4.80689001083374,4,0
3,openwebtext-256-512,4.80689001083374,5,0
3,openwebtext-256-512,4.80689001083374,6,0
3,openwebtext-256-512,4.80689001083374,7,0
3,openwebtext-256-512,4.80689001083374,8,0
3,openwebtext-256-512,4.80689001083374,9,0
4,openwebtext-256-512,6.5866875648498535,0,0
4,openwebtext-256-512,6.5866875648498535,1,0
